checking_balance,months_loan_duration,credit_history,purpose_of_loan,amount,savings_balance_(ex real estate),employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credit_facilities,default(1=no),dependents,landline,foreign_worker,job
unknown,36,critical,new vehicle,3535,< $500,4 - 7 yrs,4,single male,none,4,other,37,none,own,2,1,1,yes,yes,skilled employee
< $0,18,repaid,electronics/home entertainment,3509,< $500,4 - 7 yrs,4,female,guarantor,1,real estate,25,none,own,1,1,1,none,yes,skilled employee
unknown,36,critical,used vehicle,5711,> $2000,> 7 yrs,4,single male,none,2,other,38,none,own,2,1,1,yes,yes,mangement self-employed
$1 - $1000,18,repaid,repairs,3872,< $500,unemployed,2,female,none,4,other,67,none,own,1,1,1,yes,yes,skilled employee
$1 - $1000,39,critical,electronics/home entertainment,4933,< $500,4 - 7 yrs,2,single male,guarantor,2,real estate,25,none,own,2,2,1,none,yes,skilled employee
unknown,24,critical,new vehicle,1940,> $2000,> 7 yrs,4,single male,none,4,real estate,60,none,own,1,1,1,yes,yes,skilled employee
$1 - $1000,12,fully repaid,retraining,1410,< $500,1 - 4 yrs,2,single male,none,2,real estate,31,none,own,1,1,1,yes,yes,unskilled resident
$1 - $1000,12,repaid,new vehicle,836,$1001 - $2000,0 - 1 yrs,4,female,none,2,building society savings,23,bank,own,1,2,1,none,yes,unskilled resident
$1 - $1000,20,repaid,used vehicle,6468,unknown,unemployed,1,divorced male,none,4,real estate,60,none,own,1,1,1,yes,yes,mangement self-employed
$1 - $1000,18,repaid,business,1941,> $2000,1 - 4 yrs,4,single male,none,2,building society savings,35,none,own,1,1,1,yes,yes,unskilled resident
unknown,22,repaid,electronics/home entertainment,2675,$501 - $1000,> 7 yrs,3,single male,none,4,other,40,none,own,1,1,1,none,yes,skilled employee
unknown,48,critical,used vehicle,2751,unknown,> 7 yrs,4,single male,none,3,other,38,none,own,2,1,2,yes,yes,skilled employee
$1 - $1000,48,delayed,education,6224,< $500,> 7 yrs,4,single male,none,4,unknown,50,none,for free,1,2,1,none,yes,skilled employee
< $0,40,critical,education,5998,< $500,1 - 4 yrs,4,single male,none,3,unknown,27,bank,own,1,2,1,yes,yes,skilled employee
$1 - $1000,21,repaid,business,1188,< $500,> 7 yrs,2,female,none,4,building society savings,39,none,own,1,2,2,none,yes,skilled employee
unknown,24,repaid,used vehicle,6313,unknown,> 7 yrs,3,single male,none,4,other,41,none,own,1,1,2,yes,yes,mangement self-employed
unknown,6,critical,furniture,1221,unknown,1 - 4 yrs,1,married male,none,2,building society savings,27,none,own,2,1,1,none,yes,skilled employee
> $1000,24,repaid,furniture,2892,< $500,> 7 yrs,3,divorced male,none,4,unknown,51,none,for free,1,1,1,none,yes,skilled employee
unknown,24,repaid,furniture,3062,$501 - $1000,> 7 yrs,4,single male,none,3,unknown,32,none,rent,1,1,1,yes,yes,skilled employee
unknown,9,repaid,furniture,2301,$1001 - $2000,0 - 1 yrs,2,female,none,4,building society savings,22,none,rent,1,1,1,none,yes,skilled employee
< $0,18,repaid,used vehicle,7511,unknown,> 7 yrs,1,single male,none,4,building society savings,51,none,for free,1,2,2,yes,yes,skilled employee
unknown,12,critical,furniture,1258,< $500,0 - 1 yrs,2,female,none,4,building society savings,22,none,rent,2,1,1,none,yes,unskilled resident
unknown,24,delayed,new vehicle,717,unknown,> 7 yrs,4,married male,none,4,other,54,none,own,2,1,1,yes,yes,skilled employee
$1 - $1000,9,repaid,new vehicle,1549,unknown,0 - 1 yrs,4,single male,none,2,real estate,35,none,own,1,1,1,none,yes,unemployed non-resident
unknown,24,critical,education,1597,< $500,> 7 yrs,4,single male,none,4,unknown,54,none,for free,2,1,2,none,yes,skilled employee
$1 - $1000,18,critical,electronics/home entertainment,1795,< $500,> 7 yrs,3,female,guarantor,4,real estate,48,bank,rent,2,1,1,yes,yes,unskilled resident
< $0,20,critical,furniture,4272,< $500,> 7 yrs,1,female,none,4,building society savings,24,none,own,2,1,1,none,yes,skilled employee
unknown,12,critical,electronics/home entertainment,976,unknown,> 7 yrs,4,single male,none,4,other,35,none,own,2,1,1,none,yes,skilled employee
$1 - $1000,12,repaid,new vehicle,7472,unknown,unemployed,1,female,none,2,real estate,24,none,rent,1,1,1,none,yes,unemployed non-resident
< $0,36,repaid,new vehicle,9271,< $500,4 - 7 yrs,2,single male,none,1,other,24,none,own,1,2,1,yes,yes,skilled employee
$1 - $1000,6,repaid,electronics/home entertainment,590,< $500,0 - 1 yrs,3,married male,none,3,real estate,26,none,own,1,1,1,none,no,unskilled resident
unknown,12,critical,electronics/home entertainment,930,unknown,> 7 yrs,4,single male,none,4,real estate,65,none,own,4,1,1,none,yes,skilled employee
$1 - $1000,42,fully repaid this bank,used vehicle,9283,< $500,unemployed,1,single male,none,2,unknown,55,bank,for free,1,1,1,yes,yes,mangement self-employed
$1 - $1000,15,fully repaid,new vehicle,1778,< $500,0 - 1 yrs,2,female,none,1,real estate,26,none,rent,2,2,1,none,yes,unemployed non-resident
$1 - $1000,8,repaid,business,907,< $500,0 - 1 yrs,3,married male,none,2,real estate,26,none,own,1,1,1,yes,yes,skilled employee
$1 - $1000,6,repaid,electronics/home entertainment,484,< $500,4 - 7 yrs,3,married male,guarantor,3,real estate,28,bank,own,1,1,1,none,yes,unskilled resident
< $0,36,critical,used vehicle,9629,< $500,4 - 7 yrs,4,single male,none,4,other,24,none,own,2,2,1,yes,yes,skilled employee
< $0,48,repaid,domestic appliances,3051,< $500,1 - 4 yrs,3,single male,none,4,other,54,none,own,1,2,1,none,yes,skilled employee
< $0,48,repaid,new vehicle,3931,< $500,4 - 7 yrs,4,single male,none,4,unknown,46,none,for free,1,2,2,none,yes,skilled employee
$1 - $1000,36,delayed,new vehicle,7432,< $500,1 - 4 yrs,2,female,none,2,building society savings,54,none,rent,1,1,1,none,yes,skilled employee
unknown,6,repaid,domestic appliances,1338,$501 - $1000,1 - 4 yrs,1,divorced male,none,4,real estate,62,none,own,1,1,1,none,yes,skilled employee
unknown,6,critical,electronics/home entertainment,1554,< $500,4 - 7 yrs,1,female,none,2,other,24,none,rent,2,1,1,yes,yes,skilled employee
< $0,36,repaid,others,15857,< $500,unemployed,2,divorced male,co-applicant,3,other,43,none,own,1,1,1,none,yes,mangement self-employed
< $0,18,repaid,electronics/home entertainment,1345,< $500,1 - 4 yrs,4,married male,none,3,real estate,26,bank,own,1,2,1,none,yes,skilled employee
unknown,12,repaid,new vehicle,1101,< $500,1 - 4 yrs,3,married male,none,2,real estate,27,none,own,2,1,1,yes,yes,skilled employee
> $1000,12,repaid,electronics/home entertainment,3016,< $500,1 - 4 yrs,3,married male,none,1,other,24,none,own,1,1,1,none,yes,skilled employee
< $0,36,repaid,furniture,2712,< $500,> 7 yrs,2,single male,none,2,building society savings,41,bank,own,1,2,2,none,yes,skilled employee
< $0,8,critical,new vehicle,731,< $500,> 7 yrs,4,single male,none,4,real estate,47,none,own,2,1,1,none,yes,unskilled resident
unknown,18,critical,furniture,3780,< $500,0 - 1 yrs,3,divorced male,none,2,other,35,none,own,2,1,1,yes,yes,mangement self-employed
< $0,21,critical,new vehicle,1602,< $500,> 7 yrs,4,married male,none,3,other,30,none,own,2,1,1,yes,yes,skilled employee
< $0,18,critical,new vehicle,3966,< $500,> 7 yrs,1,female,none,4,real estate,33,bank,rent,3,2,1,yes,yes,skilled employee
unknown,18,fully repaid,business,4165,< $500,1 - 4 yrs,2,single male,none,2,other,36,stores,own,2,2,2,none,yes,skilled employee
< $0,36,repaid,used vehicle,8335,unknown,> 7 yrs,3,single male,none,4,unknown,47,none,for free,1,2,1,none,yes,skilled employee
$1 - $1000,48,delayed,business,6681,unknown,1 - 4 yrs,4,single male,none,4,unknown,38,none,for free,1,1,2,yes,yes,skilled employee
unknown,24,delayed,business,2375,$501 - $1000,1 - 4 yrs,4,single male,none,2,other,44,none,own,2,1,2,yes,yes,skilled employee
< $0,18,repaid,new vehicle,1216,< $500,0 - 1 yrs,4,female,none,3,other,23,none,rent,1,2,1,yes,yes,skilled employee
< $0,45,fully repaid,business,11816,< $500,> 7 yrs,2,single male,none,4,other,29,none,rent,2,2,1,none,yes,skilled employee
$1 - $1000,24,repaid,electronics/home entertainment,5084,unknown,> 7 yrs,2,female,none,4,other,42,none,own,1,1,1,yes,yes,skilled employee
> $1000,15,repaid,electronics/home entertainment,2327,< $500,0 - 1 yrs,2,female,none,3,real estate,25,none,own,1,2,1,none,yes,unskilled resident
< $0,12,fully repaid,new vehicle,1082,< $500,1 - 4 yrs,4,single male,none,4,other,48,bank,own,2,2,1,none,yes,skilled employee
unknown,12,repaid,electronics/home entertainment,886,unknown,1 - 4 yrs,4,female,none,2,other,21,none,own,1,1,1,none,yes,skilled employee
unknown,4,repaid,furniture,601,< $500,0 - 1 yrs,1,female,none,3,real estate,23,none,rent,1,1,2,none,yes,unskilled resident
< $0,24,critical,used vehicle,2957,< $500,> 7 yrs,4,single male,none,4,building society savings,63,none,own,2,1,1,yes,yes,skilled employee
unknown,24,critical,electronics/home entertainment,2611,< $500,> 7 yrs,4,married male,co-applicant,3,real estate,46,none,own,2,1,1,none,yes,skilled employee
< $0,36,repaid,furniture,5179,< $500,4 - 7 yrs,4,single male,none,2,building society savings,29,none,own,1,2,1,none,yes,skilled employee
unknown,21,delayed,used vehicle,2993,< $500,1 - 4 yrs,3,single male,none,2,real estate,28,stores,own,2,1,1,none,yes,unskilled resident
unknown,18,repaid,repairs,1943,< $500,0 - 1 yrs,4,female,none,4,real estate,23,none,own,1,2,1,none,yes,skilled employee
unknown,24,fully repaid this bank,business,1559,< $500,4 - 7 yrs,4,single male,none,4,other,50,bank,own,1,1,1,yes,yes,skilled employee
unknown,18,repaid,furniture,3422,< $500,> 7 yrs,4,single male,none,4,building society savings,47,bank,own,3,1,2,yes,yes,skilled employee
$1 - $1000,21,repaid,furniture,3976,unknown,4 - 7 yrs,2,single male,none,3,other,35,none,own,1,1,1,yes,yes,skilled employee
unknown,18,repaid,new vehicle,6761,unknown,1 - 4 yrs,2,single male,none,4,other,68,none,rent,2,2,1,none,yes,skilled employee
unknown,24,repaid,new vehicle,1249,< $500,0 - 1 yrs,4,married male,none,2,real estate,28,none,own,1,1,1,none,yes,skilled employee
< $0,9,repaid,electronics/home entertainment,1364,< $500,4 - 7 yrs,3,single male,none,4,real estate,59,none,own,1,1,1,none,yes,skilled employee
< $0,12,repaid,electronics/home entertainment,709,< $500,> 7 yrs,4,single male,none,4,real estate,57,stores,own,1,2,1,none,yes,unskilled resident
< $0,20,critical,new vehicle,2235,< $500,1 - 4 yrs,4,married male,guarantor,2,building society savings,33,bank,rent,2,2,1,none,no,skilled employee
unknown,24,critical,used vehicle,4042,unknown,4 - 7 yrs,3,single male,none,4,building society savings,43,none,own,2,1,1,yes,yes,skilled employee
unknown,15,critical,electronics/home entertainment,1471,< $500,1 - 4 yrs,4,single male,none,4,unknown,35,none,for free,2,1,1,yes,yes,skilled employee
< $0,18,fully repaid this bank,new vehicle,1442,< $500,4 - 7 yrs,4,single male,none,4,unknown,32,none,for free,2,2,2,none,yes,unskilled resident
unknown,36,delayed,new vehicle,10875,< $500,> 7 yrs,2,single male,none,2,other,45,none,own,2,1,2,yes,yes,skilled employee
unknown,24,repaid,new vehicle,1474,$1001 - $2000,0 - 1 yrs,4,married male,none,3,real estate,33,none,own,1,1,1,yes,yes,skilled employee
unknown,10,repaid,retraining,894,unknown,4 - 7 yrs,4,female,none,3,building society savings,40,none,own,1,1,1,yes,yes,skilled employee
unknown,15,critical,furniture,3343,< $500,1 - 4 yrs,4,single male,none,2,unknown,28,none,for free,1,1,1,yes,yes,skilled employee
< $0,15,repaid,new vehicle,3959,< $500,1 - 4 yrs,3,female,none,2,building society savings,29,none,own,1,2,1,yes,yes,skilled employee
unknown,9,repaid,new vehicle,3577,$1001 - $2000,1 - 4 yrs,1,single male,guarantor,2,real estate,26,none,rent,1,1,2,none,no,skilled employee
unknown,24,critical,used vehicle,5804,> $2000,1 - 4 yrs,4,single male,none,2,real estate,27,none,own,2,1,1,none,yes,skilled employee
unknown,18,delayed,business,2169,< $500,1 - 4 yrs,4,married male,none,2,other,28,none,own,1,2,1,yes,yes,skilled employee
< $0,24,repaid,electronics/home entertainment,2439,< $500,0 - 1 yrs,4,female,none,4,real estate,35,none,own,1,2,1,yes,yes,skilled employee
unknown,27,critical,furniture,4526,> $2000,0 - 1 yrs,4,single male,none,2,real estate,32,stores,own,2,1,2,yes,yes,unskilled resident
unknown,10,repaid,furniture,2210,< $500,1 - 4 yrs,2,single male,none,2,real estate,25,bank,rent,1,2,1,none,yes,unskilled resident
unknown,15,repaid,furniture,2221,$501 - $1000,1 - 4 yrs,2,female,none,4,other,20,none,rent,1,1,1,none,yes,skilled employee
< $0,18,repaid,electronics/home entertainment,2389,< $500,0 - 1 yrs,4,female,none,1,other,27,stores,own,1,1,1,none,yes,skilled employee
unknown,12,critical,furniture,3331,< $500,> 7 yrs,2,single male,none,4,building society savings,42,stores,own,1,1,1,none,yes,skilled employee
unknown,36,repaid,business,7409,unknown,> 7 yrs,3,single male,none,2,building society savings,37,none,own,2,1,1,none,yes,skilled employee
< $0,12,repaid,furniture,652,< $500,> 7 yrs,4,female,none,4,building society savings,24,none,rent,1,1,1,none,yes,skilled employee
unknown,36,delayed,furniture,7678,$501 - $1000,4 - 7 yrs,2,female,none,4,other,40,none,own,2,1,1,yes,yes,skilled employee
> $1000,6,critical,new vehicle,1343,< $500,> 7 yrs,1,single male,none,4,real estate,46,none,own,2,1,2,none,no,skilled employee
< $0,24,critical,business,1382,$1001 - $2000,4 - 7 yrs,4,single male,none,1,real estate,26,none,own,2,1,1,yes,yes,skilled employee
unknown,15,repaid,domestic appliances,874,unknown,0 - 1 yrs,4,female,none,1,real estate,24,none,own,1,1,1,none,yes,skilled employee
< $0,12,repaid,furniture,3590,< $500,1 - 4 yrs,2,single male,co-applicant,2,building society savings,29,none,own,1,1,2,none,yes,unskilled resident
$1 - $1000,11,critical,new vehicle,1322,> $2000,1 - 4 yrs,4,female,none,4,other,40,none,own,2,1,1,none,yes,skilled employee
< $0,18,fully repaid this bank,electronics/home entertainment,1940,< $500,0 - 1 yrs,3,single male,co-applicant,4,unknown,36,bank,for free,1,1,1,yes,yes,mangement self-employed
unknown,36,repaid,electronics/home entertainment,3595,< $500,> 7 yrs,4,single male,none,2,other,28,none,own,1,1,1,none,yes,skilled employee
< $0,9,repaid,new vehicle,1422,< $500,0 - 1 yrs,3,single male,none,2,unknown,27,none,for free,1,2,1,yes,yes,mangement self-employed
unknown,30,critical,electronics/home entertainment,6742,unknown,4 - 7 yrs,2,single male,none,3,building society savings,36,none,own,2,1,1,none,yes,skilled employee
unknown,24,repaid,used vehicle,7814,< $500,4 - 7 yrs,3,single male,none,3,other,38,none,own,1,1,1,yes,yes,mangement self-employed
unknown,24,repaid,used vehicle,9277,unknown,1 - 4 yrs,2,divorced male,none,4,unknown,48,none,for free,1,1,1,yes,yes,skilled employee
$1 - $1000,30,critical,new vehicle,2181,unknown,> 7 yrs,4,single male,none,4,real estate,36,none,own,2,1,1,none,yes,skilled employee
unknown,18,critical,electronics/home entertainment,1098,< $500,unemployed,4,female,none,4,other,65,none,own,2,1,1,none,yes,unemployed non-resident
$1 - $1000,24,repaid,furniture,4057,< $500,4 - 7 yrs,3,divorced male,none,3,other,43,none,own,1,2,1,yes,yes,skilled employee
< $0,12,repaid,education,795,< $500,0 - 1 yrs,4,female,none,4,building society savings,53,none,own,1,2,1,none,yes,skilled employee
$1 - $1000,24,critical,business,2825,unknown,4 - 7 yrs,4,single male,none,3,unknown,34,none,own,2,1,2,yes,yes,skilled employee
$1 - $1000,48,repaid,business,15672,< $500,1 - 4 yrs,2,single male,none,2,other,23,none,own,1,2,1,yes,yes,skilled employee
unknown,36,critical,new vehicle,6614,< $500,> 7 yrs,4,single male,none,4,other,34,none,own,2,1,1,yes,yes,mangement self-employed
unknown,28,fully repaid this bank,used vehicle,7824,unknown,0 - 1 yrs,3,single male,guarantor,4,real estate,40,bank,rent,2,1,2,yes,yes,skilled employee
< $0,27,critical,business,2442,< $500,> 7 yrs,4,single male,none,4,other,43,stores,own,4,1,2,yes,yes,mangement self-employed
unknown,15,critical,electronics/home entertainment,1829,< $500,> 7 yrs,4,single male,none,4,other,46,none,own,2,1,1,yes,yes,skilled employee
< $0,12,critical,new vehicle,2171,< $500,1 - 4 yrs,4,single male,none,4,building society savings,38,bank,own,2,1,1,none,no,unskilled resident
$1 - $1000,36,critical,used vehicle,5800,< $500,1 - 4 yrs,3,single male,none,4,other,34,none,own,2,1,1,yes,yes,skilled employee
unknown,18,critical,electronics/home entertainment,1169,unknown,1 - 4 yrs,4,single male,none,3,building society savings,29,none,own,2,1,1,yes,yes,skilled employee
unknown,36,delayed,used vehicle,8947,unknown,4 - 7 yrs,3,single male,none,2,other,31,stores,own,1,1,2,yes,yes,mangement self-employed
< $0,21,repaid,electronics/home entertainment,2606,< $500,0 - 1 yrs,4,female,none,4,building society savings,28,none,rent,1,1,1,yes,yes,mangement self-employed
unknown,12,critical,furniture,1592,> $2000,4 - 7 yrs,3,female,none,2,building society savings,35,none,own,1,1,1,none,no,skilled employee
unknown,15,repaid,furniture,2186,unknown,4 - 7 yrs,1,female,none,4,real estate,33,bank,rent,1,1,1,none,yes,unskilled resident
< $0,18,repaid,furniture,4153,< $500,1 - 4 yrs,2,single male,co-applicant,3,other,42,none,own,1,2,1,none,yes,skilled employee
< $0,16,critical,new vehicle,2625,< $500,> 7 yrs,2,single male,guarantor,4,building society savings,43,bank,rent,1,2,1,yes,yes,skilled employee
unknown,20,critical,new vehicle,3485,unknown,0 - 1 yrs,2,divorced male,none,4,real estate,44,none,own,2,1,1,yes,yes,skilled employee
unknown,36,critical,used vehicle,10477,unknown,> 7 yrs,2,single male,none,4,unknown,42,none,for free,2,1,1,none,yes,skilled employee
unknown,15,repaid,electronics/home entertainment,1386,unknown,1 - 4 yrs,4,married male,none,2,real estate,40,none,rent,1,1,1,yes,yes,skilled employee
unknown,24,repaid,electronics/home entertainment,1278,< $500,> 7 yrs,4,single male,none,1,real estate,36,none,own,1,1,1,yes,yes,mangement self-employed
< $0,12,repaid,electronics/home entertainment,1107,< $500,1 - 4 yrs,2,single male,none,2,real estate,20,none,rent,1,1,2,yes,yes,mangement self-employed
< $0,21,repaid,new vehicle,3763,unknown,4 - 7 yrs,2,single male,co-applicant,2,real estate,24,none,own,1,1,1,none,no,unskilled resident
$1 - $1000,36,repaid,education,3711,unknown,1 - 4 yrs,2,married male,none,2,other,27,none,own,1,1,1,none,yes,skilled employee
unknown,15,delayed,used vehicle,3594,< $500,0 - 1 yrs,1,female,none,2,building society savings,46,none,own,2,1,1,none,yes,unskilled resident
$1 - $1000,9,repaid,new vehicle,3195,unknown,1 - 4 yrs,1,female,none,2,real estate,33,none,own,1,1,1,none,yes,unskilled resident
unknown,36,delayed,electronics/home entertainment,4454,< $500,1 - 4 yrs,4,female,none,4,real estate,34,none,own,2,1,1,none,yes,skilled employee
$1 - $1000,24,critical,furniture,4736,< $500,0 - 1 yrs,2,female,none,4,other,25,bank,own,1,2,1,none,yes,unskilled resident
$1 - $1000,30,repaid,electronics/home entertainment,2991,unknown,> 7 yrs,2,female,none,4,other,25,none,own,1,1,1,none,yes,skilled employee
unknown,11,repaid,business,2142,> $2000,> 7 yrs,1,divorced male,none,2,real estate,28,none,own,1,1,1,yes,yes,skilled employee
< $0,24,fully repaid this bank,business,3161,< $500,1 - 4 yrs,4,single male,none,2,building society savings,31,none,rent,1,2,1,yes,yes,skilled employee
$1 - $1000,48,fully repaid,others,18424,< $500,1 - 4 yrs,1,female,none,2,building society savings,32,bank,own,1,2,1,yes,no,mangement self-employed
unknown,10,repaid,used vehicle,2848,$1001 - $2000,1 - 4 yrs,1,single male,co-applicant,2,real estate,32,none,own,1,1,2,none,yes,skilled employee
< $0,6,repaid,new vehicle,14896,< $500,> 7 yrs,1,single male,none,4,unknown,68,bank,own,1,2,1,yes,yes,mangement self-employed
< $0,24,repaid,furniture,2359,$1001 - $2000,unemployed,1,divorced male,none,1,building society savings,33,none,own,1,2,1,none,yes,skilled employee
< $0,24,repaid,furniture,3345,< $500,> 7 yrs,4,single male,none,2,building society savings,39,none,rent,1,2,1,yes,yes,mangement self-employed
unknown,18,critical,furniture,1817,< $500,1 - 4 yrs,4,female,none,2,unknown,28,none,own,2,1,1,none,yes,skilled employee
unknown,48,delayed,electronics/home entertainment,12749,$501 - $1000,4 - 7 yrs,4,single male,none,1,other,37,none,own,1,1,1,yes,yes,mangement self-employed
< $0,9,repaid,electronics/home entertainment,1366,< $500,0 - 1 yrs,3,female,none,4,building society savings,22,none,rent,1,2,1,none,yes,skilled employee
$1 - $1000,12,repaid,new vehicle,2002,< $500,4 - 7 yrs,3,single male,none,4,building society savings,30,none,rent,1,1,2,yes,yes,skilled employee
< $0,24,fully repaid this bank,furniture,6872,< $500,0 - 1 yrs,2,divorced male,none,1,building society savings,55,bank,own,1,2,1,yes,yes,skilled employee
< $0,12,fully repaid this bank,new vehicle,697,< $500,0 - 1 yrs,4,single male,none,2,other,46,bank,own,2,2,1,yes,yes,skilled employee
< $0,18,critical,furniture,1049,< $500,0 - 1 yrs,4,female,none,4,building society savings,21,none,rent,1,1,1,none,yes,skilled employee
< $0,48,repaid,used vehicle,10297,< $500,4 - 7 yrs,4,single male,none,4,unknown,39,stores,for free,3,2,2,yes,yes,skilled employee
unknown,30,repaid,electronics/home entertainment,1867,unknown,> 7 yrs,4,single male,none,4,other,58,none,own,1,1,1,yes,yes,skilled employee
< $0,12,delayed,new vehicle,1344,< $500,1 - 4 yrs,4,single male,none,2,real estate,43,none,own,2,1,2,none,yes,unskilled resident
< $0,24,repaid,furniture,1747,< $500,0 - 1 yrs,4,single male,co-applicant,1,building society savings,24,none,own,1,1,1,none,no,unskilled resident
$1 - $1000,9,repaid,electronics/home entertainment,1670,< $500,0 - 1 yrs,4,female,none,2,other,22,none,own,1,2,1,yes,yes,skilled employee
unknown,9,critical,new vehicle,1224,< $500,1 - 4 yrs,3,single male,none,1,real estate,30,none,own,2,1,1,none,yes,skilled employee
unknown,12,critical,electronics/home entertainment,522,$501 - $1000,> 7 yrs,4,single male,none,4,building society savings,42,none,own,2,1,2,yes,yes,skilled employee
< $0,12,repaid,electronics/home entertainment,1498,< $500,1 - 4 yrs,4,female,none,1,other,23,bank,own,1,1,1,none,yes,skilled employee
$1 - $1000,30,delayed,electronics/home entertainment,1919,$1001 - $2000,0 - 1 yrs,4,single male,none,3,unknown,30,stores,own,2,2,1,none,yes,mangement self-employed
> $1000,9,repaid,electronics/home entertainment,745,< $500,1 - 4 yrs,3,female,none,2,real estate,28,none,own,1,2,1,none,yes,unskilled resident
$1 - $1000,6,repaid,electronics/home entertainment,2063,< $500,0 - 1 yrs,4,married male,none,3,other,30,none,rent,1,1,1,yes,yes,mangement self-employed
$1 - $1000,60,repaid,education,6288,< $500,1 - 4 yrs,4,single male,none,4,unknown,42,none,for free,1,2,1,none,yes,skilled employee
unknown,24,critical,used vehicle,6842,unknown,1 - 4 yrs,2,single male,none,4,building society savings,46,none,own,2,1,2,yes,yes,mangement self-employed
unknown,12,repaid,new vehicle,3527,unknown,0 - 1 yrs,2,single male,none,3,building society savings,45,none,own,1,1,2,yes,yes,mangement self-employed
unknown,10,repaid,new vehicle,1546,< $500,1 - 4 yrs,3,single male,none,2,real estate,31,none,own,1,1,2,none,no,unskilled resident
unknown,24,repaid,furniture,929,unknown,4 - 7 yrs,4,single male,none,2,other,31,stores,own,1,1,1,yes,yes,skilled employee
unknown,4,critical,new vehicle,1455,< $500,4 - 7 yrs,2,single male,none,1,real estate,42,none,own,3,1,2,none,yes,unskilled resident
< $0,15,repaid,furniture,1845,< $500,0 - 1 yrs,4,female,guarantor,1,building society savings,46,none,rent,1,1,1,none,yes,skilled employee
$1 - $1000,48,fully repaid,new vehicle,8358,$501 - $1000,0 - 1 yrs,1,female,none,1,other,30,none,own,2,1,1,none,yes,skilled employee
< $0,24,fully repaid this bank,furniture,3349,$501 - $1000,0 - 1 yrs,4,single male,none,4,unknown,30,none,for free,1,2,2,yes,yes,skilled employee
unknown,12,repaid,new vehicle,2859,unknown,unemployed,4,single male,none,4,unknown,38,none,own,1,1,1,yes,yes,mangement self-employed
unknown,18,repaid,furniture,1533,< $500,0 - 1 yrs,4,married male,co-applicant,1,building society savings,43,none,own,1,2,2,none,yes,unskilled resident
unknown,24,repaid,electronics/home entertainment,3621,$1001 - $2000,> 7 yrs,2,single male,none,4,other,31,none,own,2,2,1,none,yes,skilled employee
$1 - $1000,18,critical,business,3590,< $500,unemployed,3,married male,none,3,other,40,none,own,3,1,2,yes,yes,unemployed non-resident
< $0,36,delayed,business,2145,< $500,4 - 7 yrs,2,single male,none,1,other,24,none,own,2,2,1,yes,yes,skilled employee
$1 - $1000,24,repaid,used vehicle,4113,$501 - $1000,0 - 1 yrs,3,female,none,4,other,28,none,rent,1,2,1,none,yes,skilled employee
unknown,36,repaid,furniture,10974,< $500,unemployed,4,female,none,2,other,26,none,own,2,2,1,yes,yes,mangement self-employed
< $0,12,repaid,new vehicle,1893,< $500,1 - 4 yrs,4,female,guarantor,4,building society savings,29,none,own,1,1,1,yes,yes,skilled employee
< $0,24,critical,electronics/home entertainment,1231,> $2000,> 7 yrs,4,female,none,4,building society savings,57,none,rent,2,1,1,yes,yes,mangement self-employed
> $1000,30,critical,electronics/home entertainment,3656,unknown,> 7 yrs,4,single male,none,4,building society savings,49,stores,own,2,1,1,none,yes,unskilled resident
$1 - $1000,9,critical,electronics/home entertainment,1154,< $500,> 7 yrs,2,single male,none,4,real estate,37,none,own,3,1,1,none,yes,unskilled resident
< $0,28,repaid,new vehicle,4006,< $500,1 - 4 yrs,3,single male,none,2,other,45,none,own,1,2,1,none,yes,unskilled resident
$1 - $1000,24,repaid,furniture,3069,$1001 - $2000,> 7 yrs,4,single male,none,4,unknown,30,none,for free,1,1,1,none,yes,skilled employee
unknown,6,critical,electronics/home entertainment,1740,< $500,> 7 yrs,2,married male,none,2,real estate,30,none,rent,2,1,1,none,yes,skilled employee
$1 - $1000,21,delayed,new vehicle,2353,< $500,1 - 4 yrs,1,divorced male,none,4,building society savings,47,none,own,2,1,1,none,yes,skilled employee
unknown,15,repaid,new vehicle,3556,unknown,1 - 4 yrs,3,single male,none,2,unknown,29,none,own,1,1,1,none,yes,skilled employee
unknown,24,repaid,electronics/home entertainment,2397,$501 - $1000,> 7 yrs,3,single male,none,2,other,35,bank,own,2,2,1,yes,yes,skilled employee
$1 - $1000,6,repaid,repairs,454,< $500,0 - 1 yrs,3,married male,none,1,building society savings,22,none,own,1,1,1,none,yes,unskilled resident
$1 - $1000,30,repaid,electronics/home entertainment,1715,unknown,1 - 4 yrs,4,female,none,1,other,26,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,27,critical,electronics/home entertainment,2520,$501 - $1000,1 - 4 yrs,4,single male,none,2,building society savings,23,none,own,2,2,1,none,yes,unskilled resident
unknown,15,repaid,electronics/home entertainment,3568,< $500,> 7 yrs,4,female,none,2,other,54,bank,rent,1,1,1,yes,yes,mangement self-employed
unknown,42,repaid,electronics/home entertainment,7166,unknown,4 - 7 yrs,2,married male,none,4,building society savings,29,none,rent,1,1,1,yes,yes,skilled employee
< $0,11,critical,new vehicle,3939,< $500,1 - 4 yrs,1,single male,none,2,real estate,40,none,own,2,1,2,none,yes,unskilled resident
$1 - $1000,15,repaid,repairs,1514,$1001 - $2000,1 - 4 yrs,4,single male,guarantor,2,real estate,22,none,own,1,1,1,none,yes,skilled employee
